Alignment_name	No_of_taxa	Alignment_length	Total_matrix_cells	Undetermined_characters	Missing_percent	No_variable_sites	Proportion_variable_sites	Parsimony_informative_sites	Proportion_parsimony_informative	A	C	D	E	F	G	H	I	K	L	M	N	P	Q	R	S	T	V	W	Y	B	J	Z	X	.	*	-	?
OG1248.nex	343	2991	1025913	273901	26.698	2952	0.987	2915	0.975	40891	9133	53780	58577	39281	27238	14828	53005	49430	88000	15257	38294	27912	25440	33549	65290	37898	44670	5266	24273	0	0	0	257262	0	0	16639	0
OG1259.nex	343	395	135485	45930	33.9	386	0.977	383	0.97	7335	1330	5719	9151	3482	3383	852	4790	9033	9534	2094	5003	4448	3349	3757	4592	3745	4160	728	3070	0	0	0	40687	0	0	5243	0
OG1290.nex	343	346	118678	48886	41.192	277	0.801	234	0.676	5203	155	3196	4331	2146	4792	1981	4149	6620	6466	836	2207	2933	2514	7698	3734	2703	5236	19	2873	0	0	0	29756	0	0	19130	0
OG1294.nex	343	294	100842	15709	15.578	238	0.81	224	0.762	9759	513	5245	3644	4425	9387	261	5453	4957	6198	805	3651	3691	2012	3975	7761	3851	6356	1150	2039	0	0	0	15583	0	0	126	0
OG1300.nex	343	421	144403	19551	13.539	415	0.986	407	0.967	11796	1368	7234	4551	5673	9899	383	7697	5236	13073	842	9142	1808	3465	934	20022	11388	8480	352	1509	0	0	0	16840	0	0	2711	0
OG1314.nex	343	450	154350	23852	15.453	423	0.94	407	0.904	7275	2496	7762	8770	6802	5502	3909	9751	8785	13080	2469	6678	5260	5385	6078	9314	5636	8923	2759	3864	0	0	0	23400	0	0	452	0
OG1320.nex	343	178	61054	336	0.55	141	0.792	125	0.702	8312	58	1457	4070	610	3237	2245	2674	7038	5214	801	2129	922	1716	9547	3161	2112	3248	678	1489	0	0	0	178	0	0	158	0
OG1323.nex	343	187	64141	75	0.117	127	0.679	114	0.61	6671	403	1339	3435	2477	6004	1569	3249	5830	3702	418	2317	1391	2532	7581	5307	4101	2963	698	2079	0	0	0	0	0	0	75	0
OG1330.nex	343	627	215061	37959	17.65	614	0.979	607	0.968	10709	2732	8030	8455	7014	7903	3439	12782	8796	21486	3587	12396	9262	8186	9062	17424	10451	9107	1444	4837	0	0	0	31350	0	0	6609	0
OG1335.nex	343	597	204771	42945	20.972	506	0.848	483	0.809	10823	721	9711	12120	7555	10083	3035	9731	13250	17542	4221	6997	5139	6450	7378	9862	7778	10598	1846	6986	0	0	0	42388	0	0	557	0
OG1340.nex	343	1084	371812	155139	41.725	1016	0.937	959	0.885	13074	3788	9911	9738	13035	14080	3305	16970	10462	26036	5802	10183	7153	6683	10213	18215	13206	14413	1799	8607	0	0	0	153932	0	0	1207	0
OG1347.nex	343	1697	582071	23808	4.09	1626	0.958	1603	0.945	34466	9790	31660	34817	27382	22478	9190	36784	40778	62055	12814	28429	22096	23522	30272	48125	28050	33618	5974	15963	0	0	0	15279	0	0	8529	0
OG1350.nex	343	424	145432	37189	25.571	330	0.778	279	0.658	5573	2886	6650	5697	5496	6263	1573	5665	6361	10873	2167	6944	5709	3094	6526	10953	5123	6572	1045	3073	0	0	0	35616	0	0	1573	0
OG1351.nex	343	4856	1665608	93104	5.59	4535	0.934	4436	0.914	95525	14320	111858	139889	70994	71222	27149	97166	101281	174829	31203	83163	49877	64888	69650	137169	78109	96168	17484	40560	0	0	0	63134	0	0	29970	0
OG1353.nex	343	1033	354319	59970	16.925	1001	0.969	973	0.942	24580	1903	18624	25349	8332	9817	5619	17222	19736	33129	5137	15159	6827	24571	14693	25929	14105	14720	1567	7330	0	0	0	43393	0	0	16577	0
OG1354.nex	343	520	178360	8764	4.914	392	0.754	356	0.685	12292	2187	9682	8963	5906	16818	3134	10716	11763	15245	5050	6975	5268	6810	5956	14100	10517	13607	300	4307	0	0	0	8320	0	0	444	0
OG1358.nex	343	891	305613	14861	4.863	755	0.847	727	0.816	25411	4036	15419	14016	14453	18816	3454	23049	17586	32859	7853	11583	8973	9686	12558	18152	18471	26052	3378	4947	0	0	0	14266	0	0	595	0
OG1361.nex	343	221	75803	7101	9.368	174	0.787	150	0.679	7706	485	3873	4587	2214	3158	1279	5308	3021	4955	436	3524	4244	1772	4148	3895	4692	6051	1145	2209	0	0	0	7072	0	0	29	0
OG1365.nex	343	316	108388	25167	23.219	233	0.737	199	0.63	9164	1129	3725	6240	2891	7630	1383	5706	5181	6404	1633	2905	3322	2881	3025	4543	7036	5274	783	2366	0	0	0	24964	0	0	203	0
OG1374.nex	343	191	65513	4096	6.252	160	0.838	145	0.759	5704	709	3692	4807	3620	4259	594	3898	3987	5632	114	2047	3144	1780	1930	3387	3803	5545	1021	1744	0	0	0	4011	0	0	85	0
OG1394.nex	343	347	119021	18815	15.808	309	0.89	297	0.856	4775	1769	6623	6218	3151	6570	3577	6672	7118	8054	1370	4062	5688	2347	6813	5674	6096	6832	1677	5120	0	0	0	18739	0	0	76	0
OG1398.nex	343	1845	632835	81643	12.901	1835	0.995	1828	0.991	32934	5747	29140	35521	29413	24529	11598	39560	35346	62132	9816	30695	21088	16954	25846	49826	30283	35055	5348	20361	0	0	0	62731	0	0	18912	0
OG1414.nex	343	336	115248	26330	22.846	298	0.887	287	0.854	4291	2649	6070	4574	4805	4945	2486	7480	6013	9765	1548	3644	4953	3207	3664	5735	4242	5328	386	3133	0	0	0	25874	0	0	456	0
OG1415.nex	343	629	215747	53462	24.78	614	0.976	606	0.963	8361	1613	11213	9706	6025	7086	3887	10759	11371	12417	2595	8860	13242	6619	10238	10099	7877	9472	2166	8679	0	0	0	47805	0	0	5657	0
OG1422.nex	343	670	229810	9656	4.202	479	0.715	424	0.633	18081	3699	14433	13841	10821	18238	5086	17066	14830	16379	4636	8079	10219	6673	10490	12967	14403	13824	1874	4515	0	0	0	9380	0	0	276	0
OG1424.nex	343	415	142345	6490	4.559	313	0.754	263	0.634	14178	611	8581	9321	6311	12295	1894	7139	13696	13614	1681	6065	5263	2428	3359	8106	6303	12528	614	1868	0	0	0	6225	0	0	265	0
OG1427.nex	343	3073	1054039	38976	3.698	2906	0.946	2821	0.918	67506	13853	48169	65231	54799	29994	24628	76137	59802	136481	22194	48263	41626	44290	53024	67755	52644	60895	13168	34604	0	0	0	36885	0	0	2091	0
OG1429.nex	343	513	175959	9017	5.124	405	0.789	376	0.733	12308	1459	10309	9782	7250	11187	5672	10742	9631	14093	4094	8709	10741	5330	7936	11660	9083	11583	1335	4038	0	0	0	8209	0	0	808	0
OG1431.nex	343	906	310758	17158	5.521	883	0.975	866	0.956	18153	2187	19645	25701	12491	8798	5002	17015	25901	36951	9168	15884	5504	14007	18893	20479	11750	15403	2741	7927	0	0	0	16313	0	0	845	0
OG1432.nex	343	359	123137	3619	2.939	277	0.772	248	0.691	11852	977	7297	8051	4939	9932	3703	7080	8869	8229	2529	5582	5092	3850	3122	7770	5604	8893	1003	5144	0	0	0	3231	0	0	388	0
OG1434.nex	343	437	149891	7923	5.286	400	0.915	362	0.828	8882	3339	4806	4769	13192	9726	3314	8607	6460	14624	4439	4557	7340	4133	4076	5921	8304	7728	5383	12368	0	0	0	7871	0	0	52	0
OG1435.nex	343	568	194824	12602	6.468	536	0.944	518	0.912	16100	2694	6719	4741	13755	9052	2028	17193	7596	18715	4654	8314	5278	6556	6586	13610	10651	17890	2679	7411	0	0	0	12496	0	0	106	0
OG1438.nex	343	2642	906206	41191	4.545	2577	0.975	2526	0.956	45401	5124	54042	56894	45463	40691	15895	68427	58589	91878	18586	47890	34435	32137	35773	72788	47205	56489	9729	27579	0	0	0	36992	0	0	4199	0
OG1442.nex	343	500	171500	9880	5.761	481	0.962	465	0.93	7990	1988	5487	5191	13106	10167	3205	14167	6604	18848	3920	6692	8110	3877	5153	13865	8238	13150	3838	8024	0	0	0	9500	0	0	380	0
OG1446.nex	343	360	123480	5375	4.353	267	0.742	233	0.647	6681	956	6063	8438	3769	9626	2471	9149	9003	11081	2055	5558	7170	2008	3594	6420	6223	13076	1170	3594	0	0	0	5060	0	0	315	0
OG1448.nex	343	305	104615	31556	30.164	298	0.977	296	0.97	7188	192	3809	6681	2414	1858	1001	3060	5397	8346	980	4463	2344	4777	3035	6637	4760	4003	43	2071	0	0	0	30195	0	0	1361	0
OG1451.nex	343	342	117306	2956	2.52	282	0.825	246	0.719	9912	1414	6975	8179	5787	7411	2504	7238	7887	10811	580	4009	8530	2851	5011	6324	6226	7820	1705	3176	0	0	0	2753	0	0	203	0
OG1453.nex	343	891	305613	15941	5.216	819	0.919	785	0.881	12496	2436	18933	22998	16163	10104	6974	18489	23821	27349	5413	14676	13304	14436	14243	19308	15881	17291	3331	12026	0	0	0	15148	0	0	793	0
OG1454.nex	343	187	64141	3830	5.971	166	0.888	155	0.829	4039	23	2958	4352	2668	2409	1003	3460	6410	6833	423	1130	3098	3336	4321	4154	2904	5594	2	1194	0	0	0	3740	0	0	90	0
OG1459.nex	343	550	188650	16563	8.78	455	0.827	415	0.755	20092	385	13181	16559	3251	7217	2448	9086	24400	18026	3053	5086	3324	3603	7177	13550	7608	9045	691	4305	0	0	0	3302	0	0	13261	0
OG1463.nex	343	2057	705551	24722	3.504	1776	0.863	1677	0.815	45279	4801	36994	46597	33622	44666	13946	45866	46102	60698	12634	31121	35376	23218	24744	50946	42160	51616	7482	22961	0	0	0	20572	0	0	4150	0
OG1465.nex	343	262	89866	22204	24.708	230	0.878	224	0.855	2848	1511	3224	4722	4487	2887	1146	5645	4412	7952	1851	2837	2968	2683	4086	3381	3196	3931	1758	2137	0	0	0	22008	0	0	196	0
OG1466.nex	343	1367	468881	16418	3.502	1343	0.982	1328	0.971	23577	8516	24672	24428	19914	24349	9687	34108	29806	47959	10511	22561	18926	14301	20712	37267	25503	34145	5281	16240	0	0	0	12305	0	0	4113	0
OG1468.nex	343	385	132055	36330	27.511	347	0.901	335	0.87	5653	1482	3206	3054	8114	6671	2402	8396	3632	11936	2106	3085	4018	2553	1748	6611	6070	6963	1932	6093	0	0	0	35420	0	0	910	0
OG1470.nex	343	400	137200	7167	5.224	321	0.802	303	0.757	10644	997	6449	3377	7670	9653	6959	8486	6890	11628	2360	5802	5046	5150	6545	6900	6290	8300	5054	5833	0	0	0	6800	0	0	367	0
OG1471.nex	343	248	85064	4898	5.758	230	0.927	228	0.919	5548	945	2369	3553	5006	5246	1233	5719	6904	8898	1789	2972	3345	2387	3347	5954	5071	6325	758	2797	0	0	0	4464	0	0	434	0
OG1472.nex	343	931	319333	12851	4.024	748	0.803	691	0.742	19639	5128	15798	15709	13171	16466	4983	23582	17550	36959	7925	11412	8292	12073	12994	23452	19927	25419	4006	11997	0	0	0	12106	0	0	745	0
OG1473.nex	343	374	128282	9925	7.737	303	0.81	271	0.725	5661	1354	6934	7538	3235	6030	4643	8157	5941	10876	3707	5043	8006	4270	7375	10351	5484	8152	1002	4598	0	0	0	7484	0	0	2441	0
OG1476.nex	343	602	206486	27895	13.509	587	0.975	579	0.962	12882	163	19802	24843	4582	9010	2249	6419	18868	13340	3373	7856	3626	8340	10070	13262	6074	7296	1057	5479	0	0	0	12041	0	0	15854	0
OG1477.nex	343	629	215747	8942	4.145	562	0.893	521	0.828	14821	4560	6825	7210	15773	12828	3739	18782	8069	24647	4652	7603	7006	5514	7240	16323	10995	15861	3833	10524	0	0	0	7548	0	0	1394	0
OG1479.nex	343	695	238385	8248	3.46	634	0.912	586	0.843	15677	2174	10013	9337	19160	12196	7629	14179	12329	25468	3830	9294	9472	7261	9165	14594	13671	17179	6216	11293	0	0	0	7648	0	0	600	0
OG1480.nex	343	550	188650	2691	1.426	501	0.911	472	0.858	15357	1933	10598	13248	4697	14020	2789	14975	12806	18350	4761	8728	7370	7223	7241	11666	10158	16425	372	3242	0	0	0	1102	0	0	1589	0
OG1481.nex	343	172	58996	3043	5.158	140	0.814	124	0.721	3435	4	1855	3182	2675	1608	1893	3062	5639	3881	1169	1814	2721	1903	5590	3563	2918	5100	658	3283	0	0	0	2580	0	0	463	0
OG1484.nex	343	505	173215	5245	3.028	440	0.871	424	0.84	14295	2802	9339	11814	5165	8659	1460	12694	9078	16861	2518	10338	7084	9954	8592	11352	9154	10556	2345	3910	0	0	0	5052	0	0	193	0
OG1485.nex	343	212	72716	3787	5.208	112	0.528	91	0.429	4353	1013	4474	4546	3919	4969	1420	3168	5983	5606	1172	3430	3499	3004	2722	1620	4210	6055	981	2785	0	0	0	3604	0	0	183	0
OG1486.nex	343	441	151263	20252	13.389	425	0.964	412	0.934	7796	293	13116	14290	4950	11913	700	2794	12267	3900	1079	4075	4748	2811	6905	26706	5206	4712	641	2109	0	0	0	5733	0	0	14519	0
OG1487.nex	343	334	114562	3751	3.274	215	0.644	196	0.587	9602	1637	6612	10644	9846	4313	2576	7518	7860	10097	2906	6477	3207	2388	4276	6313	3645	5757	1997	3140	0	0	0	3674	0	0	77	0
OG1488.nex	343	464	159152	5766	3.623	316	0.681	288	0.621	14647	1802	9811	8674	6933	15263	3479	11519	10329	13259	2962	6501	6189	4513	6582	8614	6262	8063	2822	5162	0	0	0	5568	0	0	198	0
OG1489.nex	343	623	213689	16248	7.604	592	0.95	572	0.918	8500	7290	14460	9472	6446	11158	7381	12270	14083	15502	3646	9564	6084	8335	10581	17402	13116	12821	4686	4644	0	0	0	3738	0	0	12510	0
OG1491.nex	343	276	94668	5100	5.387	219	0.793	206	0.746	5160	161	4151	6359	5574	3053	2948	5671	5494	10572	1239	3885	3941	3509	4509	6561	5077	7063	1006	3635	0	0	0	4970	0	0	130	0
OG1495.nex	343	1673	573839	45687	7.962	1625	0.971	1568	0.937	23776	8823	33524	38700	26783	20976	10731	32867	42360	46988	12222	29602	19445	19929	26945	51976	29101	29845	5423	18136	0	0	0	15058	0	0	30629	0
OG1499.nex	343	743	254849	56463	22.155	645	0.868	623	0.838	11843	983	12266	11966	9909	14070	2847	16392	14148	19680	5115	12572	8496	7946	8959	14059	8693	13958	621	3863	0	0	0	55725	0	0	738	0
OG1500.nex	343	574	196882	7675	3.898	457	0.796	402	0.7	10386	2848	10650	14824	5864	15514	6165	12970	12274	18730	4441	6249	7345	5789	8816	12035	10185	16163	1815	6144	0	0	0	6888	0	0	787	0
OG1501.nex	343	1019	349517	13689	3.917	885	0.868	840	0.824	26170	4404	19882	27418	17772	18858	5454	19473	29722	26215	7824	12514	14767	11328	14594	19042	18851	20414	4653	16473	0	0	0	13249	0	0	440	0
OG1504.nex	343	1305	447615	22705	5.072	1288	0.987	1271	0.974	17747	4991	25304	27480	20958	17577	11909	27700	29439	39684	9731	24922	17681	15086	24213	38029	23708	26439	6794	15518	0	0	0	10443	0	0	12262	0
OG1505.nex	343	768	263424	9468	3.594	451	0.587	392	0.51	22865	1516	21237	19937	9365	17466	2785	17607	14851	21888	6491	11455	12147	6641	16564	13776	11795	19626	669	5275	0	0	0	9216	0	0	252	0
OG1507.nex	343	241	82663	9897	11.973	236	0.979	232	0.963	4377	1632	4534	4507	2397	4549	3100	4879	4723	7517	1152	4945	2469	2414	2759	5486	3223	5368	997	1738	0	0	0	4821	0	0	5076	0
OG1510.nex	343	295	101185	5965	5.895	249	0.844	231	0.783	6985	788	2953	4256	5727	9144	697	6403	7233	8617	2521	3056	4643	3374	4033	5339	6280	8369	1315	3487	0	0	0	4721	0	0	1244	0
OG1511.nex	343	1495	512785	16446	3.207	1467	0.981	1438	0.962	32527	9420	23711	30388	26971	14438	9516	40408	27456	68603	12847	21830	16705	14978	22023	43553	26623	33070	7814	13458	0	0	0	14953	0	0	1493	0
OG1512.nex	343	503	172529	5083	2.946	407	0.809	367	0.73	9324	1514	14486	11878	7636	9240	4385	11503	16078	13008	3292	8192	6585	3907	9719	6321	9786	11797	3031	5764	0	0	0	4528	0	0	555	0
OG1513.nex	343	366	125538	26849	21.387	343	0.937	327	0.893	5011	1141	6440	6736	7485	3964	4065	4464	5845	8868	2016	3886	6719	3316	4966	5902	5960	4492	1889	5524	0	0	0	26719	0	0	130	0
OG1514.nex	343	219	75117	2214	2.947	158	0.721	140	0.639	7349	605	3083	6010	1771	3107	824	5762	5232	5276	1098	4073	2360	3270	5629	4812	3864	7255	336	1187	0	0	0	1752	0	0	462	0
OG1517.nex	343	841	288463	17536	6.079	676	0.804	634	0.754	20662	3388	14227	13850	12579	18556	4493	21892	14105	28033	9733	12066	9798	8194	11485	20568	18904	22983	1478	3933	0	0	0	16820	0	0	716	0
OG1518.nex	343	676	231868	13085	5.643	637	0.942	626	0.926	13141	3008	11017	12444	10185	18761	4532	11199	13200	22173	4077	12716	11198	6186	8222	15439	12455	16748	1877	10205	0	0	0	6764	0	0	6321	0
OG1519.nex	343	567	194481	11785	6.06	524	0.924	500	0.882	10986	2594	7562	5884	15470	9504	3541	14145	8361	22826	6004	9377	6460	3935	10703	11437	7452	11841	6073	8541	0	0	0	7372	0	0	4413	0
OG1520.nex	343	1122	384846	8314	2.16	1003	0.894	965	0.86	20880	2329	21043	42661	11561	15682	5449	25003	42013	40713	8625	21924	5694	19223	17837	29560	16461	20496	966	8412	0	0	0	7858	0	0	456	0
OG1521.nex	343	361	123823	2640	2.132	292	0.809	266	0.737	10636	4453	7230	6994	4797	14516	3117	7459	8773	6594	1949	3320	3953	3106	4019	5483	9053	12246	1259	2226	0	0	0	2535	0	0	105	0
OG1524.nex	343	352	120736	5348	4.429	330	0.938	321	0.912	8410	2618	6994	4515	5875	11217	2854	4532	4184	6355	2301	4827	3763	3752	2626	19208	7691	7243	1694	4729	0	0	0	4928	0	0	420	0
OG1525.nex	343	832	285376	11935	4.182	704	0.846	639	0.768	19279	2145	13830	17146	8729	20459	4718	20587	18920	26933	2807	15095	10903	10362	11044	22907	14136	20620	2721	10100	0	0	0	8323	0	0	3612	0
OG1526.nex	343	813	278859	69052	24.762	801	0.985	787	0.968	11863	2890	11505	10513	8509	5691	5926	13897	14050	22004	4484	14090	9678	10864	10707	23173	11711	11538	2326	4388	0	0	0	15455	0	0	53597	0
OG1532.nex	343	395	135485	5699	4.206	379	0.959	373	0.944	7885	2100	5174	4141	10883	6852	1944	10678	6901	16311	3328	5207	3613	4081	3309	9821	7115	9994	2315	8134	0	0	0	5531	0	0	168	0
OG1533.nex	343	508	174244	5430	3.116	310	0.61	252	0.496	17752	675	7532	11812	5468	15190	1363	9641	9917	18229	1573	5264	6815	8729	9803	11451	7803	14292	655	4850	0	0	0	5082	0	0	348	0
OG1534.nex	343	1091	374213	9634	2.574	919	0.842	875	0.802	17495	2785	23133	26766	16693	22075	6501	29126	34462	32854	9361	19964	12964	13410	15611	21725	20817	20202	4934	13701	0	0	0	8733	0	0	901	0
OG1535.nex	343	549	188307	6880	3.654	506	0.922	486	0.885	13946	1629	13152	13563	7855	4636	1974	16035	9904	26543	3190	7766	7356	6086	7838	12646	7104	14646	2196	3362	0	0	0	6601	0	0	279	0
OG1536.nex	343	1290	442470	17189	3.885	1279	0.991	1266	0.981	22905	5555	24709	26962	23038	17568	5798	34892	28601	48283	5788	26859	14261	15599	15593	39800	23066	24841	3266	17897	0	0	0	5167	0	0	12022	0
OG1537.nex	343	344	117992	1814	1.537	245	0.712	220	0.64	8787	2527	6841	8071	4081	11770	3607	6319	6470	7272	2568	5300	6414	3264	6288	6647	4745	6805	2616	5786	0	0	0	1738	0	0	76	0
OG1538.nex	343	2323	796789	28441	3.569	2030	0.874	1920	0.827	42492	4556	44312	47634	35413	32951	19470	49248	52559	78923	17088	41723	41944	32755	44690	51018	41875	42192	17703	29802	0	0	0	23232	0	0	5209	0
OG1540.nex	343	892	305956	14133	4.619	846	0.948	824	0.924	13925	2388	16918	22053	16968	12821	8134	16435	23042	32812	4128	17787	10980	10797	11276	24255	14562	15658	3289	13595	0	0	0	13380	0	0	753	0
OG1541.nex	343	386	132398	7193	5.433	298	0.772	272	0.705	6883	1106	8527	8285	7286	6731	3192	5490	9389	12972	3293	5553	4332	4454	9241	7482	6956	6090	1830	6113	0	0	0	6948	0	0	245	0
OG1542.nex	343	1290	442470	199706	45.134	1210	0.938	1103	0.855	17114	3240	13879	17959	9265	10783	5366	12631	16211	27712	4677	13211	9358	9309	10165	19826	13687	15851	3926	8594	0	0	0	49022	0	0	150684	0
OG1543.nex	343	981	336483	19913	5.918	932	0.95	903	0.92	18233	4048	14667	11090	22511	17806	8010	27516	12915	41169	8168	14987	12008	10746	10674	24456	19044	21723	6454	10345	0	0	0	10792	0	0	9121	0
OG1544.nex	343	685	234955	5726	2.437	473	0.691	426	0.622	14290	113	14494	30145	11024	8028	2192	15528	23859	21327	4293	9071	7457	7049	8592	16243	12992	14817	1674	6041	0	0	0	4804	0	0	922	0
OG1545.nex	343	1534	526162	11177	2.124	1421	0.926	1333	0.869	39122	5611	30991	38202	21232	18506	10037	38550	35081	63694	6260	31902	17069	23348	17316	32521	21557	36639	4744	22603	0	0	0	10744	0	0	433	0
OG1546.nex	343	2636	904148	30145	3.334	2573	0.976	2527	0.959	74913	8209	49453	60595	33188	38780	11669	66752	56230	115321	12247	35216	33149	29780	37275	79181	45598	62555	5585	18307	0	0	0	10552	0	0	19593	0
OG1547.nex	343	547	187621	5573	2.97	519	0.949	512	0.936	8649	2730	9439	10381	10397	9753	5939	14655	11957	19541	3566	9211	6659	6246	7994	14456	9767	11667	2233	6808	0	0	0	4377	0	0	1196	0
OG1548.nex	343	468	160524	6264	3.902	381	0.814	332	0.709	10277	2004	4514	6870	12861	9682	2936	16640	4981	19878	3824	5085	4870	4400	4590	11697	8843	12038	2135	6135	0	0	0	6086	0	0	178	0
OG1549.nex	343	837	287091	11714	4.08	822	0.982	814	0.973	17432	4671	17349	13666	13426	13817	6671	15477	13804	29249	5702	14709	15647	12236	12781	22430	14812	19401	1186	10911	0	0	0	6704	0	0	5010	0
OG1550.nex	343	630	216090	7726	3.575	480	0.762	447	0.71	13297	2397	13029	19616	11211	13239	4106	12321	17787	18096	3526	6760	9806	5782	11779	12196	10611	15381	2216	5208	0	0	0	7560	0	0	166	0
OG1551.nex	343	890	305270	5626	1.843	781	0.878	745	0.837	17630	2108	17970	19730	17188	17754	6501	22694	20469	30874	3458	16130	10545	9936	13119	24373	14542	18774	2028	13821	0	0	0	4452	0	0	1174	0
OG1552.nex	343	653	223979	29025	12.959	625	0.957	597	0.914	9057	1556	12385	12400	9299	9601	3902	12277	15197	16867	3643	13112	12728	5299	9284	22411	11370	7589	2040	4937	0	0	0	8497	0	0	20528	0
OG1554.nex	343	583	199969	4438	2.219	529	0.907	512	0.878	14217	2091	11861	11841	5890	11815	3183	13739	16213	19322	5602	9456	7527	7291	9620	15413	12313	11055	2356	4726	0	0	0	4095	0	0	343	0
OG1556.nex	343	360	123480	3159	2.558	293	0.814	261	0.725	9704	2746	8926	6274	3794	7616	4049	10239	7728	8530	3326	5683	4252	3726	5837	8789	5672	10481	475	2474	0	0	0	2881	0	0	278	0
OG1557.nex	343	754	258622	4462	1.725	690	0.915	660	0.875	15957	2918	9191	12108	17319	17483	4566	23738	10405	32578	6088	9107	8833	7384	8675	18422	13709	22065	3581	10033	0	0	0	3771	0	0	691	0
OG1558.nex	343	619	212317	60782	28.628	582	0.94	553	0.893	9981	1517	6076	6601	8108	7015	1777	13407	5764	19756	3255	7295	7710	6002	4141	15906	8218	12279	2224	4503	0	0	0	17343	0	0	43439	0
OG1559.nex	343	435	149205	8641	5.791	427	0.982	416	0.956	5417	889	8857	10728	7413	4385	2638	10227	10893	15517	2659	8384	5448	6904	8236	10858	6817	7280	2916	4098	0	0	0	5655	0	0	2986	0
OG1560.nex	343	653	223979	7220	3.224	625	0.957	610	0.934	13057	2431	13978	12070	9272	13556	6592	11286	13685	19220	4327	11502	10443	6606	11110	20375	13315	13070	3042	7822	0	0	0	5226	0	0	1994	0
OG1561.nex	343	695	238385	30534	12.809	658	0.947	654	0.941	11490	1604	10142	13276	9362	12026	5753	13584	12881	16125	4856	13833	11900	12249	8837	22509	8112	11792	594	6926	0	0	0	8340	0	0	22194	0
